IP Interface Status for VRF "CORP"(3)
Interface            IP Address      Interface Status
Vlan16               10.129.131.78   protocol-up/link-up/admin-up       
Vlan20               10.128.144.3    protocol-down/link-down/admin-down 
Vlan25               10.128.178.9    protocol-down/link-down/admin-down 
Vlan28               10.128.32.238   protocol-up/link-up/admin-up       
Vlan30               10.128.32.251   protocol-up/link-up/admin-up       
Vlan172              10.130.72.3     protocol-up/link-up/admin-up       
Vlan618              10.129.130.254  protocol-up/link-up/admin-up       
Vlan1000             10.188.9.250    protocol-up/link-up/admin-up       
Vlan1005             10.188.10.251   protocol-up/link-up/admin-up       
Vlan1013             10.188.21.251   protocol-up/link-up/admin-up       
Vlan1022             10.188.27.251   protocol-up/link-up/admin-up       
Vlan1023             10.253.1.250    protocol-up/link-up/admin-up       
Vlan1026             10.188.36.28    protocol-up/link-up/admin-up       
Vlan1027             10.2.127.250    protocol-down/link-down/admin-down 
Vlan1034             10.188.46.251   protocol-up/link-up/admin-up       
Vlan1046             10.188.63.251   protocol-up/link-up/admin-up       
Vlan1073             10.188.117.251  protocol-up/link-up/admin-up       
Vlan1074             10.188.119.251  protocol-up/link-up/admin-up       
Vlan1075             10.188.121.251  protocol-down/link-down/admin-down 
Vlan1600             10.188.13.250   protocol-down/link-down/admin-down 
Vlan1602             10.188.45.251   protocol-down/link-down/admin-down 
Vlan1605             10.128.22.254   protocol-up/link-up/admin-up       
Vlan1608             10.128.23.126   protocol-up/link-up/admin-up       
Vlan1609             10.128.25.254   protocol-up/link-up/admin-up       
Vlan1610             10.128.21.254   protocol-up/link-up/admin-up       
Vlan2900             10.129.16.251   protocol-up/link-up/admin-up       
Vlan3001             10.129.131.62   protocol-up/link-up/admin-up       
Vlan3036             10.113.47.250   protocol-down/link-down/admin-down 
Vlan3101             10.253.4.250    protocol-up/link-up/admin-up       
Vlan3103             10.113.119.250  protocol-down/link-down/admin-down 
Vlan3104             10.113.121.250  protocol-down/link-down/admin-down 
Vlan3105             10.113.122.250  protocol-up/link-up/admin-up       
Vlan3106             10.113.123.250  protocol-down/link-down/admin-down 
Vlan3107             10.113.124.250  protocol-down/link-down/admin-down 
Vlan3108             10.113.125.250  protocol-down/link-down/admin-down 
Vlan3150             10.128.115.252  protocol-down/link-down/admin-down 
Vlan3151             10.128.117.252  protocol-down/link-down/admin-down 
Vlan3152             10.128.119.252  protocol-down/link-down/admin-down 
Vlan3153             10.128.121.252  protocol-down/link-down/admin-down 
Vlan3155             10.128.125.252  protocol-up/link-up/admin-up       
Vlan3156             10.128.191.252  protocol-up/link-up/admin-up       
Vlan3157             10.128.247.252  protocol-up/link-up/admin-up       
Vlan3158             10.128.126.252  protocol-down/link-down/admin-down 
Vlan3159             10.128.223.252  protocol-down/link-down/admin-down 
Vlan3160             10.128.135.252  protocol-up/link-up/admin-up       
Vlan3161             10.128.131.252  protocol-up/link-up/admin-up       
Vlan3162             10.253.0.252    protocol-up/link-up/admin-up       
Vlan3163             10.128.145.252  protocol-up/link-up/admin-up       
Vlan3164             10.128.146.252  protocol-up/link-up/admin-up       
Vlan3165             10.128.186.252  protocol-down/link-down/admin-down 
Vlan3166             10.128.123.252  protocol-up/link-up/admin-up       
Vlan3176             10.128.177.254  protocol-up/link-up/admin-up       
Vlan3181             10.128.181.251  protocol-down/link-down/admin-down 
Vlan3182             10.128.182.252  protocol-up/link-up/admin-up       
Vlan3212             10.128.215.254  protocol-up/link-up/admin-up       
Vlan3250             10.128.251.252  protocol-up/link-up/admin-up       
Vlan3251             10.128.147.252  protocol-up/link-up/admin-up       
Vlan3338             10.128.33.254   protocol-up/link-up/admin-up       
Vlan3412             10.113.68.251   protocol-down/link-down/admin-down 
Vlan3413             10.113.66.251   protocol-down/link-down/admin-down 
Vlan3419             10.113.36.5     protocol-down/link-down/admin-down 
Vlan3420             10.113.35.250   protocol-down/link-down/admin-down 
Vlan3422             10.113.76.152   protocol-up/link-up/admin-up       
Vlan3423             10.113.74.250   protocol-down/link-down/admin-down 
Vlan3427             10.113.12.5     protocol-up/link-up/admin-up       
Vlan3428             10.113.14.5     protocol-down/link-down/admin-down 
Vlan3432             10.113.51.251   protocol-up/link-up/admin-up       
Vlan3433             10.113.53.251   protocol-up/link-up/admin-up       
Vlan3436             10.113.59.250   protocol-down/link-down/admin-down 
Vlan3437             10.113.61.171   protocol-up/link-up/admin-up       
Vlan3452             10.113.88.250   protocol-down/link-down/admin-down 
Vlan3453             10.113.89.250   protocol-down/link-down/admin-down 
Vlan3454             10.113.90.250   protocol-down/link-down/admin-down 
Vlan3459             10.113.159.250  protocol-down/link-down/admin-down 
Vlan3460             10.113.191.250  protocol-up/link-up/admin-up       
